[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250222, Home Team: CHI, Away Team: PHO, Game Time: 5:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250224, Home Team: PHI, Away Team: CHI, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250114, Home Team: CHI, Away Team: NO, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250329, Home Team: CHI, Away Team: DAL, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241109, Home Team: ATL, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241205, Home Team: SA, Away Team: CHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241026, Home Team: CHI, Away Team: OKC, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241025, Home Team: MIL, Away Team: CHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241118, Home Team: DET, Away Team: CHI, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250411, Home Team: CHI, Away Team: WAS, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250327, Home Team: CHI, Away Team: LAL, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250312, Home Team: ORL, Away Team: CHI, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250121, Home Team: LAC, Away Team: CHI, Game Time: 10:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250112, Home Team: CHI, Away Team: SAC, Game Time: 3:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241123, Home Team: CHI, Away Team: MEM, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250117, Home Team: CHI, Away Team: CHA, Game Time: 9:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241202, Home Team: CHI, Away Team: BKN, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241115, Home Team: CLE, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250413, Home Team: PHI, Away Team: CHI, Game Time: 1:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250310, Home Team: CHI, Away Team: IND, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241104, Home Team: CHI, Away Team: UTA, Game Time: 8:30p
